noun	gender	count
bagage	m	23897
bagarre	f	35724
bagarreur	m	640
bagasse	f	2178
bagatelle	f	9808
bagnard	m	2161
bagne	m	14797
bagnole	f	4607
bagout	m	815
bague	f	31116
baguette	f	38709
baht	m	614
bahut	m	2851
baie	f	175418
baignade	f	8500
baigne	f	527
baigneur	m	2384
baigneuse	f	2559
baignoire	f	25816
bail	m	68532
baile	m	1559
baillage	m	829
baille	f	962
bailleur	m	36095
bailli	m	16390
bailliage	m	12624
baillie	f	877
bailly	m	625
bain	m	98751
bais	m	763
baisa	f	666
baise	f	2631
baise	m	1295
baisemain	m	1212
baiser	f	1905
baiser	m	61837
baisse	f	888906
baja	f	545
bakchich	m	1341
bakufu	m	565
bal	m	57448
balade	f	7219
baladeur	m	1807
baladin	m	715
balafon	m	1403
balafre	f	1834
balai	m	14487
balance	f	329003
balance	m	1808
balancelle	f	788
balancement	m	17839
balancier	m	10088
balançoire	f	6555
balayage	m	11664
balayette	f	619
balayeur	m	2500
balayeuse	f	513
balbutiement	m	2575
balcon	m	39093
baldaquin	m	3888
baleine	f	27694
baleinier	m	1352
baleinière	f	2478
balisage	m	6210
balise	f	12626
balistique	f	2598
balkanisation	f	8203
ballade	f	16366
ballast	m	3791
balle	f	143983
ballerine	f	1969
ballet	m	43295
ballon	m	70896
ballonnement	m	659
ballonnet	m	2368
ballot	m	3541
ballottage	m	1461
balluchon	m	568
balnéaire	m	558
balnéothérapie	f	679
balourd	m	980
balourdise	f	989
baluchon	m	2321
balustrade	f	18616
balustre	m	633
bambara	m	4057
bambin	m	4252
bambou	m	7431
bamboula	f	620
ban	f	614
ban	m	10949
banal	m	3133
banalisation	f	40957
banalité	f	54942
banane	f	35627
bananeraie	f	4129
bananier	m	5778
banc	m	105872
bancarisation	f	1061
bancassurance	f	1155
banco	m	928
banda	f	928
bandage	m	5611
bande	f	397383
bandeau	m	25623
bandelette	f	5939
bandera	f	765
banderole	f	9175
bandit	m	13453
banditisme	m	9489
bandoulière	f	806
bang	m	510
banian	m	1176
banjo	m	1155
banlieue	f	167981
banlieusard	m	576
banni	m	1953
bannissement	m	14171
bannière	f	53521
banque	f	527131
banqueroute	f	19733
